Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,3175,Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,2962,"highly probable","BM 92793","BM 77643+","Baker 2004, no. 59a",Nappāhu,"Legal document","16.IV.14 Nbn",542,Babylon,,https://cdli.ucla.edu/P512050,https://nabucco.arts.kuleuven.be/item/22495,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-61,408,"witness, regular (pāni)",-,"TypeLegal documentSubtypetestament"
Amat-Ninlil,,,Female,"Land, House, Slave",40519,Amat-Ninlil,-,-,Female,,17491,probable,"BM 46581",,"Wunsch 2003, no. 30",Šangû-Ninurta,"Legal document",-,-,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-47,4699,"heir
obligor",-,"TypeLegal documentSubtypetestament"
Amat-Ninlil,Šamaš-nāṣir,Ile’’i-Marduk,Female,"House, Prebend, Slave",3171,Amat-Ninlil,Šamaš-nāṣir,Ile’’i-Marduk,Female,,3028,"highly probable","BM 92793","BM 77643+","Baker 2004, no. 59a",Nappāhu,"Legal document","16.IV.14 Nbn",542,Babylon,,https://cdli.ucla.edu/P512050,https://nabucco.arts.kuleuven.be/item/22495,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-61,408,"heir
witness, special (ina ašābi)",-,"TypeLegal documentSubtypetestament"
"Anonymous group",Nabû-na[...],,Male,,67609,-,-,-,-,-,-,"less probable","BM 94585",,unpublished,"Ilia A+B","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-238,5865,unclear,-,"TypeLegal documentSubtypetestament"
"Anonymous group",Nabû-ušallim,,Male,Land,67613,"Anonymous Group",Nabû-ušallim,-,Male,,27190,"highly probable","BM 94585",,unpublished,"Ilia A+B","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-238,5865,neighbour,-,"TypeLegal documentSubtypetestament"
Bēl-nādin-apli,Bēl-ikṣur,Ēṭiru,Male,Land,40531,Bēl-nādin-apli,Bēl-ikṣur,Ēṭiru,Male,,17471,"highly probable","BM 46581",,"Wunsch 2003, no. 30",Šangû-Ninurta,"Legal document",-,-,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-47,4699,seller,-,"TypeLegal documentSubtypetestament"
Bēl-rēmanni,,Sagdidi,Male,,3180,Bēl-rēmanni,Rēmūtu,Sagdidi,Male,,4435,probable,"BM 92793","BM 77643+","Baker 2004, no. 59a",Nappāhu,"Legal document","16.IV.14 Nbn",542,Babylon,,https://cdli.ucla.edu/P512050,https://nabucco.arts.kuleuven.be/item/22495,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-61,408,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypetestament"
Būdia,,,Male,,40522,Būdia,-,-,Male,,17508,"highly probable","BM 46581",,"Wunsch 2003, no. 30",Šangû-Ninurta,"Legal document",-,-,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-47,4699,"object of transaction",amīlūtu,"TypeLegal documentSubtypetestament"
Cyrus,,,Male,,50244,Cyrus,-,-,Male,,16416,"highly probable","BM 31698+","BM 31693","Wunsch 1993b, no. 260A","Egibi Nūr-Sîn","Legal document","12.X.00 Cyr",538,Borsippa,,-,https://nabucco.arts.kuleuven.be/item/29560,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1425,5884,"king in date",broken/unclear,"TypeLegal documentSubtypetestament"
Esagil-bēlet,,,Female,"Field, Slave",50241,Ina-Esagil-bēlet,Itti-Marduk-balāṭu,Egibi,Female,,19268,"highly probable","BM 31698+","BM 31693","Wunsch 1993b, no. 260A","Egibi Nūr-Sîn","Legal document","12.X.00 Cyr",538,Borsippa,,-,https://nabucco.arts.kuleuven.be/item/29560,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1425,5884,recipient,-,"TypeLegal documentSubtypetestament"
