Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahhēšāya,Kunāya,,Male,,43406,Ahhēšāya,Kunāya,-,Male,,16192,"highly probable","BM 131215",,"UET 4, 198",Sîn-uballiṭ,"Legal document","02.I.07 Npl",619,Babylon,,https://cdli.ucla.edu/P414894,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-50,5000,guarantor,-,"TypeLegal documentSubtypewarranty"
Ahu-iddin,Lâ[bâši],,Male,,17596,-,-,-,-,-,-,"less probable","CBS 5172",,"Stolper 1985, no. 99",Murašû,"Legal document","28.[-].40 [Art I]",[425],Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261364,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490936,,,2260,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Ahu-līšir,,,Male,,43418,Ahu-līšir,-,-,Male,,16193,"highly probable","BM 131215",,"UET 4, 198",Sîn-uballiṭ,"Legal document","02.I.07 Npl",619,Babylon,,https://cdli.ucla.edu/P414894,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-50,5000,"person in charge (ina/ša qātē)","rab kiṣri","TypeLegal documentSubtypewarranty"
Alākšu-lūmur,,,Female,,30112,Alākšu-lūmur,-,-,Female,,16363,"highly probable","BM 30991",,"Wunsch 1993b, no. 100","Egibi Nūr-Sîn","Legal document","15.IX.01 Nbn",555,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29416,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-718,3502,"object of transaction",amīlūtu,"TypeLegal documentSubtypewarranty"
Amurru-iddin,Bābu-iddin,,Male,,21100,-,-,-,-,-,-,"less probable","CBS 5506",,"Stolper 1985, no. 112",Murašû,"Legal document","[-].VI.41 [Art I]",[424],Broken/Unclear,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261699,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491015,,,2554,"obligee
payer",-,"TypeLegal documentSubtypewarranty"
Amurru-šarru-uṣur,Amurru-ēreš,,Male,,30136,Amurru-šarru-uṣur,Amurru-ēreš,-,Male,,9043,"highly probable","BM 30991",,"Wunsch 1993b, no. 100","Egibi Nūr-Sîn","Legal document","15.IX.01 Nbn",555,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29416,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-718,3502,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Amurru-zēru-iddin,Amurru-ibni,,Male,,63462,Amurru-zēru-iddin,Amurru-ibni,-,Male,,22024,"highly probable","BM 32868",,"Nbk 86","Egibi Nūr-Sîn","Legal document","01.V.10 Nbk II",595,Ālu-ša-Amurru,Fingernails,-,https://nabucco.arts.kuleuven.be/item/29689,-,-,https://www.britishmuseum.org/collection/object/W_1877-0417-19,7505,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Anonymous,,,Male,,30124,-,-,-,-,-,-,"less probable","BM 30991",,"Wunsch 1993b, no. 100","Egibi Nūr-Sîn","Legal document","15.IX.01 Nbn",555,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29416,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-718,3502,representative/agent,"mār šipri","TypeLegal documentSubtypewarranty"
Aplāya,Nādin-ahi,,Male,,63463,Aplāya,Nādin-ahi,-,Male,,24422,"highly probable","BM 32868",,"Nbk 86","Egibi Nūr-Sîn","Legal document","01.V.10 Nbk II",595,Ālu-ša-Amurru,Fingernails,-,https://nabucco.arts.kuleuven.be/item/29689,-,-,https://www.britishmuseum.org/collection/object/W_1877-0417-19,7505,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypewarranty"
Aqara,Nādinu,,Male,,31081,-,-,-,-,-,-,"less probable","CBS 5402",,"BE 9, 41",Murašû,"Legal document","08.VI.35 Art I",430,Nippur,"Fingernails, Other markings",https://cdli.ucla.edu/P261596,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043522,,,3562,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Arad-Ninurta,Ninurta-uballiṭ,,Male,,31078,-,-,-,-,-,-,"less probable","CBS 5402",,"BE 9, 41",Murašû,"Legal document","08.VI.35 Art I",430,Nippur,"Fingernails, Other markings",https://cdli.ucla.edu/P261596,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043522,,,3562,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Artaxerxes,,,Male,,31096,-,-,-,-,-,-,"less probable","CBS 5402",,"BE 9, 41",Murašû,"Legal document","08.VI.35 Art I",430,Nippur,"Fingernails, Other markings",https://cdli.ucla.edu/P261596,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043522,,,3562,"king in date","šar mātāti","TypeLegal documentSubtypewarranty"
Artaxerx[es],,,Male,,17788,-,-,-,-,-,-,"less probable","CBS 6126",,"Stolper 1985, no. 103",Murašû,"Legal document","21.II.38 [Art I]",[427],Nippur,,https://cdli.ucla.edu/P263894,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490948,,,2272,"king in date","šar mātāti","TypeLegal documentSubtypewarranty"
Bābu-enqet,,,Female,,59541,Bābu-enqet,-,-,Female,,27101,"highly probable","BM 30549",,"Nbn 16","Egibi Nūr-Sîn","Legal document","[-].XI.00 Nbn",555,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28804,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-276,7036,obligee,-,"TypeLegal documentSubtypewarranty"
Balāṭu,Bēl-lē’i,,Male,,43397,Balāṭu,Bēl-lē’i,-,Male,,16260,"highly probable","BM 131215",,"UET 4, 198",Sîn-uballiṭ,"Legal document","02.I.07 Npl",619,Babylon,,https://cdli.ucla.edu/P414894,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-50,5000,guarantor,-,"TypeLegal documentSubtypewarranty"
Balāṭu,Ninurta-ahhē-bulliṭ,,Male,,21121,-,-,-,-,-,-,"less probable","CBS 5506",,"Stolper 1985, no. 112",Murašû,"Legal document","[-].VI.41 [Art I]",[424],Broken/Unclear,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261699,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491015,,,2554,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Bēl-iddin,Bēl-upahhir,Dābibī,Male,,30139,Bēl-iddin,Bēl-upahhir,Dābibī,Male,,6613,"highly probable","BM 30991",,"Wunsch 1993b, no. 100","Egibi Nūr-Sîn","Legal document","15.IX.01 Nbn",555,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29416,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-718,3502,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypewarranty"
Bēl-iddin,[...],,Male,,67232,Bēl-iddin,[...],-,Male,,26703,"highly probable","BM 41445",,"Bertin 2658","Egibi Nūr-Sîn","Legal document","05.XII.28 Dar I",493,Ālu-ša-Ša-pî-kalbi,,-,https://nabucco.arts.kuleuven.be/item/30118,-,-,https://www.britishmuseum.org/collection/object/W_1881-0625-56,7930,guarantor,-,"TypeLegal documentSubtypewarranty"
Bēl-nādin-apli,Nergal-ušēzib,Šangû-Ninurta,Male,,59752,Bēl-nādin-apli,Nergal-ušēzib,Šangû-Ninurta,Male,,19210,"highly probable","BM 33948",,"Camb 290","Egibi Nūr-Sîn","Legal document","11.X.05 Cam",524,Šahrīn,,https://cdli.ucla.edu/P507685,https://nabucco.arts.kuleuven.be/item/29188,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1680296,,https://www.britishmuseum.org/collection/object/W_SP-44,7064,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Bēlšunu,Enlil-[...],,Male,,31063,-,-,-,-,-,-,"less probable","CBS 5402",,"BE 9, 41",Murašû,"Legal document","08.VI.35 Art I",430,Nippur,"Fingernails, Other markings",https://cdli.ucla.edu/P261596,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043522,,,3562,"guarantor
leaves fingernail marking(s)",-,"TypeLegal documentSubtypewarranty"
Bēlšunu,Ubāru,,Male,,21199,-,-,-,-,-,-,"less probable",L-29-570,,"Stolper 1985, no. 114",Murašû,"Legal document","06.X.04 Dar II",419,Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P453470,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491021,,,2587,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Biṣāya,Barik-Ta[mmeš],,Male,,21190,-,-,-,-,-,-,"less probable",L-29-570,,"Stolper 1985, no. 114",Murašû,"Legal document","06.X.04 Dar II",419,Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P453470,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491021,,,2587,"guarantor
obligor",-,"TypeLegal documentSubtypewarranty"
Bītāya(?),Bēl-ēreš,,Male,,43403,Bītāya,Bēl-ēreš,-,Male,,16288,"highly probable","BM 131215",,"UET 4, 198",Sîn-uballiṭ,"Legal document","02.I.07 Npl",619,Babylon,,https://cdli.ucla.edu/P414894,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-50,5000,guarantor,-,"TypeLegal documentSubtypewarranty"
Cambyses,,,Male,,45393,Cambyses,-,-,Male,,16420,"highly probable","BM 26730","VAT 4988 (VS 6, 114)",unpublished,"Rē’i-alpi (Borsippa)","Legal document","25.II.07 Cam",523,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-548,5229,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypewarranty"
Cambyses,,,Male,,59754,Cambyses,-,-,Male,,16420,"highly probable","BM 33948",,"Camb 290","Egibi Nūr-Sîn","Legal document","11.X.05 Cam",524,Šahrīn,,https://cdli.ucla.edu/P507685,https://nabucco.arts.kuleuven.be/item/29188,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1680296,,https://www.britishmuseum.org/collection/object/W_SP-44,7064,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypewarranty"
Darius,,,Male,,21226,-,-,-,-,-,-,"less probable",L-29-570,,"Stolper 1985, no. 114",Murašû,"Legal document","06.X.04 Dar II",419,Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P453470,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491021,,,2587,"king in date","šar mātāti","TypeLegal documentSubtypewarranty"
Didinnatu,,,Female,,30109,Didinnatu,-,-,Female,,13549,"highly probable","BM 30991",,"Wunsch 1993b, no. 100","Egibi Nūr-Sîn","Legal document","15.IX.01 Nbn",555,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29416,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-718,3502,"object of transaction",amīlūtu,"TypeLegal documentSubtypewarranty"
Enlil-ahhē-iddin,Ninurta-uballiṭ,,Male,,17746,-,-,-,-,-,-,"less probable","CBS 6126",,"Stolper 1985, no. 103",Murašû,"Legal document","21.II.38 [Art I]",[427],Nippur,,https://cdli.ucla.edu/P263894,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490948,,,2272,"guarantor
leaves fingernail marking(s)",-,"TypeLegal documentSubtypewarranty"
Enlil-ahu-iddin,Enlil-[...],,Male,,31060,-,-,-,-,-,-,"less probable","CBS 5402",,"BE 9, 41",Murašû,"Legal document","08.VI.35 Art I",430,Nippur,"Fingernails, Other markings",https://cdli.ucla.edu/P261596,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043522,,,3562,"guarantor
leaves fingernail marking(s)",-,"TypeLegal documentSubtypewarranty"
Enlil-ittannu,Enlil-ahu-[...],,Male,,17587,-,-,-,-,-,-,"less probable","CBS 5172",,"Stolper 1985, no. 99",Murašû,"Legal document","28.[-].40 [Art I]",[425],Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261364,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490936,,,2260,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
Enlil-kāṣir,Rēmūtu,,Male,,21205,-,-,-,-,-,-,"less probable",L-29-570,,"Stolper 1985, no. 114",Murašû,"Legal document","06.X.04 Dar II",419,Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P453470,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491021,,,2587,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewarranty"
