Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-ittabši,Nabû-malik,,Male,,29380,Ahu-ittabši,Nabû-malik,-,Male,,8833,"highly probable","BM 31394",,"Wunsch 1993b, no. 87","Egibi Nūr-Sîn","Legal document","17.V.00 Nbn",556,Bištu-ša-ṣinnatu,,-,https://nabucco.arts.kuleuven.be/item/29563,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1121,3430,broken/unclear,-,"TypeLegal documentSubtypewitness list"
Anu-ahu-iddin,,,Male,,8919,Anu-ahu-iddin,-,-,Male,,12689,"highly probable",Unknown,,"Hunger 1970, no. 30",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1144,"witness, official (ina ušuzzi)","šākin ṭēm Uruk","TypeLegal documentSubtypewitness list"
Arad-LI.DIŠ(?),[...],,Male,,8940,Arad-[...],[...],-,Male,,12682,"highly probable",Unknown,,"Hunger 1970, no. 30",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1144,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewitness list"
Bēl(?)-[...],,,Male,,8930,Bēl-[...],-,-,Male,,12676,"highly probable",Unknown,,"Hunger 1970, no. 30",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1144,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewitness list"
Bēl(?)-[...],Bēl-[...]-ukīn(?),,Male,,10652,Bēl-[...],Bēl-[...]-ukīn,-,Male,,12674,"highly probable",Unknown,,"Hunger 1970, no. 29",Šamšēa,"Legal document","11?.[-].[-] [Npl]",-,Broken/Unclear,,-,-,-,-,-,1143,broken/unclear,-,"TypeLegal documentSubtypewitness list"
Bēl(?)-[...],[...],,Male,,10637,Bēl-[...],[...],-,Male,,12677,"highly probable",Unknown,,"Hunger 1970, no. 29",Šamšēa,"Legal document","11?.[-].[-] [Npl]",-,Broken/Unclear,,-,-,-,-,-,1143,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypewitness list"
Bēl-ēreš,Kunāya,,Male,,10376,Bēl-ēreš,Kunāya,Sîn-tabni,Male,,12467,"highly probable","IM 65092",,"Hunger 1970, no. 31",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1145,"broken/unclear
witness",-,"TypeLegal documentSubtypewitness list"
Bēl-ēṭir,Ahhūtu,,Male,,8954,Bēl-ēṭir,Ahhūtu,-,Male,,12468,"highly probable",Unknown,,"Hunger 1970, no. 30",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1144,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypewitness list"
Bēl-iddin,Bēl-upahhir,Dābibī,Male,,29389,Bēl-iddin,Bēl-upahhir,Dābibī,Male,,6613,"highly probable","BM 31394",,"Wunsch 1993b, no. 87","Egibi Nūr-Sîn","Legal document","17.V.00 Nbn",556,Bištu-ša-ṣinnatu,,-,https://nabucco.arts.kuleuven.be/item/29563,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1121,3430,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypewitness list"
"Erībšu (?)",Nabû-[malik],,Male,,29383,Erībšu,Nabû-malik,-,Male,,9190,"less probable","BM 31394",,"Wunsch 1993b, no. 87","Egibi Nūr-Sîn","Legal document","17.V.00 Nbn",556,Bištu-ša-ṣinnatu,,-,https://nabucco.arts.kuleuven.be/item/29563,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1121,3430,witness,-,"TypeLegal documentSubtypewitness list"
Gimillu,Kunāya,,Male,,10403,Gimillu,Kunāya,-,Male,,12642,"highly probable","IM 65092",,"Hunger 1970, no. 31",Šamšēa,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,1145,"broken/unclear
witness",-,"TypeLegal documentSubtypewitness list"
