Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Agirī,Nanāya-šumu-uṣur,,Male,,1105,Agirī,Nanāya-šumu-uṣur,-,Male,,6097,"highly probable","BM 79208",,"Waerzeggers 2014, no. 174","Ṣāhit-ginê A","Legal document","11.VI.01 Xer I",485,Sippar,,-,http://nabucco.arts.kuleuven.be/item/28198,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-505,132,employee,-,"TypeLegal documentSubtypework contract"
Ahhēšu,Bēltu-rēmanni,,Male,,14882,-,-,-,-,-,-,"less probable","CBS 13006",,"Stolper 1985, no. 93",Murašû,"Legal document","21.IV.40 Art I",425,Nippur,,https://cdli.ucla.edu/P268091,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490918,,,1802,employee,-,"TypeLegal documentSubtypework contract"
Ahu-iddin,Ahu-ēreš,,Male,,44162,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 10, 4",Murašû,"Legal document","14.XII.00 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453360,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132225,,,5083,employee,-,"TypeLegal documentSubtypework contract"
Ahu-iddin,Šumu-iddin,,Male,,46536,-,-,-,-,-,-,"less probable","CBS 5283",,"BE 10, 29",Murašû,"Legal document","12.IV.01 Dar II",423,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261477,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132550,,,5392,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypework contract"
Ahu-lētī,,,Male,Land,34744,-,-,-,-,-,-,"less probable","CBS 5409",,"BE 9, 55",Murašû,"Legal document","12.IX.37 Art I",428,Nippur,Epigraphs,https://cdli.ucla.edu/P261603,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043881,,,3997,"land owner
passive (mentioned in relation to sb or sth else)",ardu,"TypeLegal documentSubtypework contract"
Ahūšunu,Sîn-ēṭir,,Male,,23461,Ahūšunu,Sîn-ēṭir,-,Male,,15195,"highly probable","Unknown (IM)",,"UET 4, 109","Gallābu (Ur)","Legal document","25.IV.08 Art III",351,Ur,,https://cdli.ucla.edu/P414805,-,,,,2845,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypework contract"
Ahūšunu,[...],,Male,,14831,-,-,-,-,-,-,"less probable","CBS 5213",,"Stolper 1985, no. 91",Murašû,"Legal document","[28].[-].05 [Dar II]",[419/418],Til-Gabbāri,Fingernails,https://cdli.ucla.edu/P261406,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490912,,,1796,employee,-,"TypeLegal documentSubtypework contract"
Amat-Bābu,Kalbāya,Nabāya,Female,Slave,64282,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 33058",,"Dar 457","Egibi Nūr-Sîn","Legal document","16.IX.17 Dar I",504,Babylon,,-,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1662326,-,https://www.britishmuseum.org/collection/object/W_1878-1028-11,7611,"master (of a slave)",-,"TypeLegal documentSubtypework contract"
Amīl-Marduk,,,Male,,45035,Amīl-Marduk,-,-,Male,,16419,"highly probable","VAT 3088",,"Sack 1972, no. 91","Sîn-ilī (Babylon)","Legal document","12.XI.01 AM",560,Ālu-ša-Nūrea,,-,-,-,-,-,5175,"king in date","šar Bābili
šarru","TypeLegal documentSubtypework contract"
Anonymous,,,Female,,36505,Anonymous,-,-,Female,,10667,"highly probable","CBS 327",,"San Nicolò 1935, pp. 22-23","Ea-eppēš-ilī A (Babylon)","Legal document","28.VI.05 Nbn",551,Babylon,,https://cdli.ucla.edu/P257773,,,,,4258,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypework contract"
Anonymous,,,Male,,46168,Anonymous,-,-,Male,,17441,"highly probable","VAT 3045",,"San Nicolò and Ungnad 1929-1935, no. 626","Sîn-ilī (Babylon)","Legal document","08.VI.12 Nbn",544,Babylon,,-,-,-,-,-,5333,"(legal) authority","šākin ṭēm Bābili","TypeLegal documentSubtypework contract"
"Anonymous group",,,Male,,7927,-,-,-,-,-,-,"less probable","BM 32851",,"Abraham 2004, no. 92","Egibi Nūr-Sîn","Legal document","15.I.05 Dar I",517,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32512,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1655612,-,https://www.britishmuseum.org/collection/object/W_1877-0417-2,1065,"passive (mentioned in relation to sb or sth else)","ṣābu ša narkabti","TypeLegal documentSubtypework contract"
"Anonymous group",,,Male,,7956,-,-,-,-,-,-,"less probable","BM 30787",,"Abraham 2004, no. 94","Egibi Nūr-Sîn","Legal document","07.III.05 Dar I",517,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30583,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/2/96/1/1655693,-,https://www.britishmuseum.org/collection/object/W_1876-1117-514,1066,broken/unclear,bābilāya,"TypeLegal documentSubtypework contract"
"Anonymous group",,,Male,,44184,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 10, 4",Murašû,"Legal document","14.XII.00 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453360,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132225,,,5083,employee,kutallu,"TypeLegal documentSubtypework contract"
